Ano,Pergunta,A,B,C,D,Correta,Nível,Tempo
3º Ano,Qual palavra indica ação?,pular,caderno,azul,pequeno,A,Fácil,10
3º Ano,Complete: As crianças ___ no parque.,brincam,brinco,brinca,brincou,A,Fácil,10
3º Ano,Qual é o antônimo de 'rápido'?,lento,veloz,claro,alto,A,Fácil,10
3º Ano,Qual é o sinônimo de 'alegre'?,bravo,fraco,triste,feliz,D,Fácil,10
3º Ano,Qual palavra começa com sílaba CA?,janela,dado,bola,cavalo,D,Fácil,10
3º Ano,Separe corretamente a palavra 'sapato'.,sa-pa-to,s-a-pa-to,sa-pat-o,sap-a-to,A,Médio,15
3º Ano,"Para crescer saudável, a planta precisa de luz e?",areia seca,plástico,fumaça,água,D,Fácil,10
3º Ano,Qual alimento ajuda a dar energia?,arroz,papel,vidro,pedra,A,Fácil,10
3º Ano,Qual hábito protege os dentes?,rasgar,escovar,gritar,correr,B,Fácil,10
3º Ano,O que devemos beber todos os dias?,cola,óleo,tinta,água,D,Fácil,10
3º Ano,Qual animal nasce de ovo?,vaca,cachorro,galinha,gato,C,Fácil,10
3º Ano,Qual animal amamenta os filhotes?,cachorro,peixe,formiga,borboleta,A,Fácil,10
3º Ano,Qual parte da planta absorve água?,folha,fruto,flor,raiz,D,Médio,15
3º Ano,Qual parte da planta produz sementes?,terra,caule,flor,raiz,C,Médio,15
3º Ano,O lixo reciclável deve ir para?,terreno,coleta seletiva,rua,rio,B,Fácil,10
3º Ano,Qual atitude economiza água?,deixar aberta,lavar calçada,brincar com mangueira,fechar a torneira,D,Fácil,10
3º Ano,O Sol aparece principalmente durante o?,noite,dia,sono,inverno,B,Fácil,10
3º Ano,A Lua é vista melhor durante a?,manhã,chuva,tarde clara,noite,D,Fácil,10
3º Ano,Qual sentido usamos para ouvir?,visão,olfato,tato,audição,D,Fácil,10
3º Ano,Qual sentido usamos para sentir cheiro?,audição,paladar,olfato,visão,C,Fácil,10
3º Ano,O coração ajuda a bombear?,sangue,água do rio,areia,arroz,A,Médio,15
3º Ano,Os pulmões ajudam na?,audição,respiração,digestão,visão,B,Médio,15
3º Ano,Lavar as mãos ajuda a evitar?,sol,brinquedos,chuva,doenças,D,Fácil,10
3º Ano,Qual material é feito de árvores?,metal,plástico,vidro,papel,D,Fácil,10
3º Ano,Qual objeto atrai alguns metais?,ímã,borracha,madeira,papel,A,Médio,15
3º Ano,"Quando a água vira gelo, ela fica?",gasosa,doce,sólida,líquida,C,Médio,15
3º Ano,Onde os carros devem circular?,rua,banheiro,quarto,cozinha,A,Fácil,10
3º Ano,Onde atravessamos com mais segurança?,garagem,curva,meio da rua,faixa de pedestres,D,Fácil,10
3º Ano,A escola é um espaço de?,estudo,plantio,pesca,banho,A,Fácil,10
3º Ano,O mapa ajuda a encontrar?,sabores,sons,cheiros,lugares,D,Fácil,10
3º Ano,Quem trabalha apagando incêndios?,motorista,padeiro,bombeiro,dentista,C,Fácil,10
3º Ano,Qual lugar tem muitos livros para leitura?,padaria,posto,biblioteca,garagem,C,Fácil,10
3º Ano,"O bairro é formado por ruas, casas e?",comércios,nuvens,estrelas,peixes,A,Fácil,10
3º Ano,Qual meio de transporte anda nos trilhos?,barco,avião,bicicleta,trem,D,Fácil,10
3º Ano,Qual meio de transporte voa?,trem,ônibus,carro,avião,D,Fácil,10
3º Ano,O semáforo vermelho indica?,entrar,pular,parar,correr,C,Fácil,10
3º Ano,"Na escola, devemos respeitar os?",colegas,lápis,muros,papéis,A,Fácil,10
3º Ano,Guardar brinquedos após usar é atitude de?,pressa,responsabilidade,bagunça,medo,B,Fácil,10
3º Ano,Quem cuida da saúde das pessoas?,músico,pedreiro,médico,pintor,C,Fácil,10
3º Ano,A certidão de nascimento registra nosso?,brinquedo,nascimento,sapato,lanche,B,Fácil,10
3º Ano,Qual documento mostra o nome da pessoa?,identidade,estojo,livro,copo,A,Fácil,10
3º Ano,Falar 'por favor' demonstra?,raiva,sono,fome,educação,D,Fácil,10
3º Ano,Cuidar da praça ajuda a comunidade a ficar?,perigosa,suja,quebrada,melhor,D,Fácil,10
3º Ano,Esperar a vez na fila é sinal de?,respeito,pressa,bagunça,barulho,A,Fácil,10
3º Ano,A família ajuda a criança com?,cuidado,fumaça,areia,barulho,A,Fácil,10
3º Ano,As regras ajudam a melhorar a?,altura,chuva,cor,convivência,D,Fácil,10
